timestamp,step,x,y,yaw,v,omega,x_ref,y_ref,yaw_ref,v_ref,curvature_ref,lateral_error,heading_error,velocity_error,longitudinal_error,accel,steering_angle,jerk_accel,steering_rate,mpc_comp_time_ms,mpc_status,min_clearance,nearest_obstacle_id,collision_detected,collision_count,active_destination_id,goal_x,goal_y,replan_count,replan_in_progress,route_completion_ratio
0.0,0,0.0,0.0,0.465,0.075,0.0001,0.0,0.0,0.4658,1.5,-0.0,0.0,-0.0008,-1.5,0.0,1.5,0.0008,0.0,0.0,8.933,1,13.25,rack_obstacle_01,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0
0.05,1,0.0034,0.0017,0.465,0.15,0.0001,0.0034,0.0,0.4658,1.5,-0.0,0.0,-0.0008,-1.425,0.0,1.5,0.0008,0.0,-0.0003,8.606,1,13.2466,rack_obstacle_01,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0001
0.1,2,0.0101,0.005,0.465,0.225,0.0001,0.0101,0.0017,0.4658,1.5,-0.0001,-0.0,-0.0008,-1.35,0.0,1.5,0.0007,0.0,-0.0014,12.821,1,13.2399,rack_obstacle_01,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0003
0.15,3,0.0201,0.0101,0.465,0.3,-0.0,0.0201,0.0051,0.4658,1.5,-0.0002,-0.0,-0.0008,-1.275,0.0,1.5,-0.0001,0.0,-0.0174,7.748,1,13.2299,rack_obstacle_01,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0007
0.2,4,0.0335,0.0168,0.465,0.375,0.0001,0.0335,0.0101,0.4658,1.5,-0.0005,-0.0,-0.0008,-1.2,0.0,1.5,0.0002,0.0,0.0074,8.577,1,13.2165,rack_obstacle_01,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0011
0.25,5,0.0503,0.0252,0.465,0.45,0.0,0.0503,0.0168,0.4658,1.5,-0.0008,-0.0,-0.0007,-1.125,0.0,1.5,0.0,0.0,-0.004,10.384,1,13.1997,rack_obstacle_01,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0017
0.3,6,0.0704,0.0353,0.465,0.5235,-0.0001,0.0704,0.0253,0.4657,1.5,-0.0011,-0.0,-0.0007,-1.05,0.0,1.47,-0.0002,-0.6,-0.0039,11.294,1,13.1797,rack_obstacle_01,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0023
0.35,7,0.0938,0.0471,0.465,0.5919,-0.0005,0.0938,0.0354,0.4657,1.5,-0.0016,-0.0001,-0.0007,-0.9765,0.0,1.3671,-0.001,-2.058,-0.0167,10.633,1,13.1563,rack_obstacle_01,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0031
0.4,8,0.1202,0.0603,0.4649,0.6554,-0.0009,0.1202,0.0471,0.4657,1.5,-0.0021,-0.0001,-0.0007,-0.9081,0.0,1.2714,-0.0016,-1.9139,-0.0117,12.299,1,13.1299,rack_obstacle_01,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.004
0.45,9,0.1495,0.075,0.4649,0.7145,-0.0011,0.1495,0.0604,0.4656,1.5,-0.0027,-0.0001,-0.0006,-0.8446,0.0,1.1824,-0.0018,-1.78,-0.0041,7.241,1,13.1007,rack_obstacle_01,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.005
0.5,10,0.1815,0.091,0.4648,0.7695,-0.0019,0.1815,0.0751,0.4655,1.5,-0.0034,-0.0001,-0.0006,-0.7855,0.0,1.0996,-0.003,-1.6554,-0.0246,9.344,1,13.0688,rack_obstacle_01,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.006
0.55,11,0.2159,0.1083,0.4646,0.8207,-0.0034,0.2159,0.0912,0.4654,1.5,-0.0041,-0.0001,-0.0005,-0.7305,0.0,1.0227,-0.0049,-1.5395,-0.0379,8.18,1,13.0346,rack_obstacle_01,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0072
0.6,12,0.2525,0.1267,0.4645,0.8682,-0.0034,0.2525,0.1084,0.4652,1.5,-0.0049,-0.0002,-0.0005,-0.6793,0.0,0.9511,-0.0047,-1.4317,0.0045,7.784,1,12.998,rack_obstacle_01,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0084
0.65,13,0.2914,0.1461,0.4643,0.9124,-0.0048,0.2914,0.1269,0.465,1.5,-0.0057,-0.0002,-0.0005,-0.6318,0.0,0.8845,-0.0063,-1.3315,-0.0321,7.809,1,12.9594,rack_obstacle_01,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0097
0.7,14,0.3321,0.1665,0.464,0.9536,-0.0055,0.3321,0.1463,0.4647,1.5,-0.0066,-0.0002,-0.0004,-0.5876,0.0,0.8226,-0.0069,-1.2383,-0.0116,12.285,1,12.9189,rack_obstacle_01,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0111
0.75,15,0.3748,0.1879,0.4636,0.9918,-0.0074,0.3748,0.1668,0.4644,1.5,-0.0075,-0.0002,-0.0004,-0.5464,0.0,0.765,-0.009,-1.1516,-0.0424,11.797,1,12.8765,rack_obstacle_01,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0125
0.8,16,0.4191,0.2101,0.4632,1.0274,-0.0094,0.4191,0.1881,0.464,1.5,-0.0085,-0.0002,-0.0003,-0.5082,0.0,0.7115,-0.0109,-1.071,-0.0387,9.585,1,12.8325,rack_obstacle_01,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.014
0.85,17,0.4651,0.233,0.4627,1.0605,-0.0098,0.4651,0.2103,0.4635,1.5,-0.0095,-0.0002,-0.0004,-0.4726,0.0,0.6617,-0.0111,-0.996,-0.0038,10.678,1,12.7869,rack_obstacle_01,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0155
0.9,18,0.5125,0.2567,0.4622,1.0912,-0.0107,0.5125,0.2332,0.463,1.5,-0.0106,-0.0002,-0.0003,-0.4395,0.0,0.6153,-0.0118,-0.9263,-0.0132,12.629,1,12.7399,rack_obstacle_01,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0171
0.95,19,0.5614,0.281,0.4616,1.1199,-0.0132,0.5614,0.2569,0.4624,1.5,-0.0116,-0.0002,-0.0002,-0.4088,0.0,0.5723,-0.0141,-0.8615,-0.0463,10.837,1,12.6916,rack_obstacle_01,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0187
1.0,20,0.6115,0.3059,0.4609,1.1465,-0.0142,0.6115,0.2812,0.4618,1.5,-0.0127,-0.0002,-0.0002,-0.3801,0.0,0.5322,-0.0149,-0.8012,-0.016,8.636,1,12.642,rack_obstacle_01,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0204
1.05,21,0.6629,0.3314,0.4601,1.1712,-0.016,0.6629,0.3062,0.461,1.5,-0.0139,-0.0002,-0.0002,-0.3535,0.0,0.495,-0.0164,-0.7451,-0.0309,9.023,1,12.5913,rack_obstacle_01,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0221
1.1,22,0.7153,0.3574,0.4592,1.1942,-0.0174,0.7153,0.3316,0.4602,1.5,-0.0151,-0.0002,-0.0001,-0.3288,0.0,0.4603,-0.0174,-0.6929,-0.0201,7.836,1,12.5395,rack_obstacle_01,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0238
1.15,23,0.7689,0.3839,0.4583,1.2156,-0.0194,0.7689,0.3576,0.4593,1.5,-0.0163,-0.0002,-0.0001,-0.3058,0.0,0.4281,-0.0191,-0.6444,-0.0336,8.951,1,12.4867,rack_obstacle_01,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0256
